amount,release_year,rental_rate,length,replacement_cost,NC_17,PG,PG_13,R_rated,extra_fees,trailers,deleted_scenes,behind_scenes,commentaries
2.99,2005,0.99,156,10.99,0,0,0,1,1,1,0,0,1
2.99,2005,2.99,48,12.99,0,0,1,0,0,0,1,1,1
8.99,2007,4.99,113,21.99,0,0,1,0,1,1,0,1,0
2.99,2008,2.99,148,21.99,0,0,0,0,0,1,0,0,0
4.99,2006,4.99,167,25.99,0,0,0,1,0,1,0,1,1
2.99,2008,0.99,85,26.99,0,0,0,1,1,1,1,0,0
4.99,2005,4.99,54,10.99,0,0,1,0,0,1,0,1,1
2.99,2009,2.99,71,29.99,0,0,0,1,0,0,1,1,0
0.99,2009,0.99,109,16.99,0,0,1,0,0,1,1,1,1
2.99,2009,2.99,181,9.99,0,1,0,0,0,0,0,0,1
3.99,2008,2.99,118,22.99,0,0,0,1,1,0,1,0,1
4.99,2006,2.99,48,19.99,0,1,0,0,1,0,0,0,1
6.99,2007,0.99,160,15.99,1,0,0,0,1,1,0,1,0
8.99,2009,2.99,84,29.99,0,0,0,1,1,1,1,0,1
2.99,2006,2.99,108,26.99,0,0,0,1,0,0,1,1,0
0.99,2010,0.99,125,21.99,1,0,0,0,0,0,1,0,0
2.99,2008,2.99,85,18.99,0,1,0,0,0,1,1,1,0
6.99,2010,4.99,76,13.99,1,0,0,0,1,1,1,0,0
5.99,2004,0.99,54,14.99,0,0,1,0,1,1,0,0,1
6.99,2004,4.99,85,24.99,0,1,0,0,1,1,0,0,1
2.99,2004,2.99,121,19.99,0,0,1,0,0,1,1,1,1
10.99,2010,4.99,111,12.99,0,0,0,1,1,0,0,0,1
6.99,2005,4.99,72,19.99,1,0,0,0,1,1,1,0,0
2.99,2008,2.99,152,9.99,0,0,1,0,0,1,1,1,1
1.99,2005,0.99,144,9.99,0,0,1,0,1,1,1,0,1
1.99,2009,0.99,46,25.99,0,0,1,0,1,1,0,0,1
0.99,2006,0.99,67,23.99,0,0,0,1,0,1,1,1,0
3.99,2007,0.99,58,22.99,1,0,0,0,1,1,1,1,1
6.99,2004,2.99,84,29.99,1,0,0,0,1,1,0,0,0
4.99,2004,2.99,102,26.99,0,0,1,0,1,0,0,0,1
4.99,2009,4.99,176,19.99,0,1,0,0,0,0,1,1,0
0.99,2006,0.99,117,12.99,0,1,0,0,0,1,1,0,0
2.99,2005,2.99,158,16.99,1,0,0,0,0,0,0,0,1
6.99,2006,4.99,51,23.99,0,1,0,0,1,0,1,1,1
8.99,2009,2.99,135,17.99,0,1,0,0,1,1,0,0,1
4.99,2007,4.99,171,25.99,0,0,1,0,0,0,0,1,0
3.99,2008,2.99,70,22.99,0,0,0,1,1,0,1,1,1
5.99,2006,0.99,97,14.99,0,1,0,0,1,1,0,1,0
2.99,2010,2.99,101,13.99,0,0,0,0,0,0,1,0,1
4.99,2005,4.99,61,18.99,0,0,1,0,0,1,0,1,0
4.99,2007,4.99,130,13.99,1,0,0,0,0,1,1,1,1
0.99,2006,0.99,122,22.99,1,0,0,0,0,1,1,1,1
6.99,2004,4.99,170,22.99,0,1,0,0,1,1,1,1,0
4.99,2007,2.99,185,23.99,0,0,0,0,1,0,1,0,0
6.99,2004,4.99,165,16.99,0,0,0,1,1,0,0,0,1
0.99,2008,0.99,135,26.99,1,0,0,0,0,1,1,1,1
7.99,2004,4.99,93,9.99,1,0,0,0,1,0,1,1,1
6.99,2010,4.99,162,23.99,0,0,1,0,1,0,1,1,1
4.99,2010,0.99,101,16.99,1,0,0,0,1,0,0,1,1
0.99,2008,0.99,114,11.99,0,1,0,0,0,1,0,1,1
5.99,2010,4.99,148,20.99,0,1,0,0,1,0,0,0,1
0.99,2007,0.99,57,27.99,0,0,1,0,0,1,0,1,0
2.99,2004,2.99,174,16.99,1,0,0,0,0,1,0,1,0
0.99,2006,0.99,181,10.99,0,0,0,0,0,0,1,0,0
3.99,2007,2.99,139,22.99,1,0,0,0,1,1,1,1,0
5.99,2010,0.99,104,12.99,0,0,1,0,1,1,1,0,0
5.99,2007,2.99,167,27.99,0,0,0,1,1,0,0,1,0
2.99,2009,2.99,71,29.99,0,0,0,1,0,0,1,1,0
0.99,2007,0.99,73,21.99,0,1,0,0,0,1,1,1,0
2.99,2007,2.99,177,28.99,0,1,0,0,0,0,0,1,1
7.99,2008,4.99,159,29.99,0,0,1,0,1,0,0,0,1
6.99,2009,4.99,153,9.99,1,0,0,0,1,0,1,0,0
3.99,2005,2.99,84,23.99,0,0,0,1,1,1,0,1,1
2.99,2006,0.99,97,14.99,0,1,0,0,1,1,0,1,0
3.99,2007,2.99,184,11.99,1,0,0,0,1,0,0,1,1
2.99,2008,2.99,115,13.99,0,0,1,0,0,1,0,1,1
5.99,2010,0.99,155,20.99,0,0,0,0,1,0,0,1,1
4.99,2009,2.99,88,9.99,0,0,0,1,1,0,1,0,1
2.99,2008,2.99,112,13.99,0,0,1,0,0,1,1,1,1
5.99,2010,2.99,170,15.99,0,0,0,0,1,0,0,1,0
0.99,2008,0.99,114,20.99,1,0,0,0,0,0,1,0,0
6.99,2009,2.99,100,19.99,0,0,0,1,1,1,0,0,1
3.99,2005,0.99,69,13.99,0,0,0,0,1,0,0,0,1
4.99,2006,4.99,46,27.99,0,1,0,0,0,0,0,1,1
7.99,2007,4.99,57,27.99,0,1,0,0,1,1,1,1,0
5.99,2009,2.99,123,26.99,1,0,0,0,1,0,1,0,1
0.99,2005,0.99,75,9.99,0,1,0,0,0,1,1,1,1
0.99,2005,0.99,163,27.99,0,0,0,1,0,1,0,1,0
2.99,2007,2.99,47,22.99,0,1,0,0,0,1,0,0,0
5.99,2006,2.99,141,21.99,0,0,1,0,1,0,0,0,1
4.99,2005,4.99,172,23.99,1,0,0,0,0,1,0,1,0
5.99,2004,4.99,179,22.99,0,0,0,1,1,1,0,0,0
10.99,2004,4.99,150,28.99,0,0,0,0,1,0,1,0,1
0.99,2006,0.99,99,11.99,0,1,0,0,0,1,0,0,1
3.99,2006,0.99,181,10.99,0,0,0,0,1,0,1,0,0
2.99,2004,2.99,94,27.99,0,0,0,1,0,1,0,1,0
4.99,2005,4.99,79,19.99,0,0,0,0,0,1,0,1,0
6.99,2010,4.99,138,9.99,0,1,0,0,1,0,0,1,0
5.99,2004,2.99,67,20.99,0,1,0,0,1,0,0,1,1
4.99,2010,4.99,175,28.99,0,0,0,0,0,1,0,0,1
0.99,2009,0.99,62,21.99,1,0,0,0,0,0,1,0,1
2.99,2006,2.99,143,21.99,0,0,0,1,0,0,0,1,1
0.99,2009,0.99,142,17.99,0,1,0,0,0,1,1,0,1
2.99,2007,2.99,160,20.99,0,0,0,1,0,0,1,0,0
2.99,2006,2.99,167,17.99,0,0,0,0,0,0,1,1,1
3.99,2007,2.99,176,12.99,0,0,0,0,1,1,1,0,1
4.99,2006,4.99,161,22.99,0,0,0,1,0,0,0,0,1
3.99,2004,0.99,58,27.99,0,0,1,0,1,0,0,1,0
2.99,2010,2.99,120,11.99,1,0,0,0,0,1,1,0,0
4.99,2006,4.99,154,14.99,0,0,0,1,0,1,0,0,1
4.99,2009,4.99,157,17.99,0,0,1,0,0,1,1,1,0
0.99,2006,0.99,63,22.99,0,0,0,0,0,0,1,1,1
4.99,2004,4.99,128,13.99,0,0,0,1,0,0,1,0,0
2.99,2010,2.99,166,10.99,0,0,1,0,0,0,0,0,1
2.99,2009,2.99,172,29.99,0,0,1,0,0,1,0,1,1
0.99,2006,0.99,171,28.99,0,0,1,0,0,1,1,0,1
2.99,2005,2.99,175,22.99,0,1,0,0,0,0,0,0,1
1.99,2009,0.99,57,28.99,1,0,0,0,1,1,0,1,1
1.99,2010,0.99,58,17.99,0,0,0,0,1,1,0,1,1
2.99,2007,2.99,159,11.99,0,0,1,0,0,1,1,1,0
2.99,2008,2.99,136,17.99,0,0,0,1,0,0,0,1,0
4.99,2004,4.99,83,28.99,0,0,0,1,0,1,1,0,1
6.99,2006,4.99,56,22.99,0,1,0,0,1,0,1,0,0
0.99,2007,0.99,151,19.99,0,0,0,1,0,0,0,1,1
6.99,2009,2.99,90,13.99,0,0,1,0,1,1,1,1,0
6.99,2006,2.99,182,20.99,0,0,0,0,1,0,0,1,1
2.99,2006,2.99,84,23.99,1,0,0,0,0,1,0,0,1
2.99,2008,2.99,180,26.99,0,0,1,0,0,0,0,1,0
4.99,2005,4.99,121,11.99,0,0,0,1,0,0,0,1,1
2.99,2009,2.99,88,9.99,0,0,0,1,0,0,1,0,1
2.99,2006,2.99,142,21.99,0,0,0,1,0,0,0,0,1
4.99,2009,4.99,173,14.99,0,0,0,0,0,0,1,1,1
3.99,2009,2.99,172,25.99,0,0,1,0,1,1,1,1,1
5.99,2008,0.99,135,26.99,1,0,0,0,1,1,1,1,1
6.99,2010,2.99,92,19.99,1,0,0,0,1,1,0,0,0
0.99,2005,0.99,69,13.99,0,0,0,0,0,0,0,0,1
2.99,2005,2.99,71,21.99,0,0,1,0,0,1,0,0,0
4.99,2006,4.99,133,19.99,1,0,0,0,0,1,0,1,0
5.99,2007,4.99,48,9.99,1,0,0,0,1,0,1,1,0
4.99,2007,4.99,113,21.99,0,0,1,0,0,1,0,1,0
0.99,2006,0.99,86,15.99,0,0,0,0,0,0,1,0,1
4.99,2008,0.99,161,12.99,0,1,0,0,1,0,1,0,1
0.99,2007,0.99,56,24.99,0,0,0,0,0,1,0,1,1
4.99,2004,2.99,134,26.99,0,0,0,1,1,1,1,1,1
4.99,2006,4.99,167,25.99,0,0,0,1,0,1,0,1,1
2.99,2009,2.99,113,13.99,1,0,0,0,0,1,1,1,1
1.99,2010,0.99,125,21.99,1,0,0,0,1,0,1,0,0
9.99,2006,4.99,103,21.99,0,1,0,0,1,0,0,1,1
0.99,2008,0.99,114,25.99,0,1,0,0,0,0,1,1,0
2.99,2008,2.99,129,15.99,0,0,0,0,0,1,0,0,1
2.99,2009,2.99,61,29.99,0,0,1,0,0,0,0,0,1
2.99,2007,2.99,130,9.99,1,0,0,0,0,1,1,1,0
4.99,2006,4.99,103,11.99,1,0,0,0,0,0,1,0,0
0.99,2007,0.99,55,13.99,1,0,0,0,0,0,0,1,0
2.99,2005,2.99,93,12.99,0,1,0,0,0,1,0,0,1
2.99,2006,2.99,109,13.99,0,0,0,1,0,0,1,1,1
2.99,2005,2.99,175,22.99,0,1,0,0,0,0,0,0,1
4.99,2008,4.99,139,26.99,0,0,1,0,0,1,1,1,1
0.99,2004,0.99,117,29.99,0,1,0,0,0,1,1,0,0
5.99,2004,2.99,134,26.99,0,0,0,1,1,1,1,1,1
0.99,2007,0.99,137,21.99,0,1,0,0,0,1,1,0,0
2.99,2007,0.99,128,9.99,0,1,0,0,1,1,1,1,0
7.99,2006,4.99,180,13.99,1,0,0,0,1,0,0,0,1
5.99,2005,4.99,182,23.99,0,0,1,0,1,1,0,1,0
4.99,2004,4.99,127,26.99,0,0,1,0,0,0,0,1,0
6.99,2009,2.99,182,22.99,1,0,0,0,1,1,1,1,1
4.99,2009,0.99,52,17.99,1,0,0,0,1,0,1,0,1
4.99,2007,4.99,113,21.99,0,0,1,0,0,1,0,1,0
4.99,2006,4.99,133,27.99,0,1,0,0,0,0,1,0,1
2.99,2005,2.99,64,9.99,0,0,1,0,0,1,0,1,1
5.99,2006,4.99,80,25.99,0,1,0,0,1,1,1,1,1
2.99,2009,0.99,176,22.99,0,0,0,0,1,1,1,0,1
2.99,2004,2.99,172,13.99,1,0,0,0,0,1,1,1,1
0.99,2004,0.99,50,13.99,0,1,0,0,0,1,1,0,0
5.99,2009,2.99,84,29.99,0,0,0,1,1,1,1,0,1
2.99,2008,2.99,81,12.99,0,0,0,0,0,0,1,0,1
2.99,2007,2.99,185,23.99,0,0,0,0,0,0,1,0,0
7.99,2004,2.99,122,27.99,0,0,1,0,1,1,1,1,1
2.99,2008,2.99,50,18.99,0,0,0,0,0,1,1,1,0
5.99,2005,0.99,135,12.99,1,0,0,0,1,0,1,0,1
4.99,2010,2.99,152,24.99,0,0,0,1,1,0,1,1,1
4.99,2010,4.99,54,23.99,0,0,0,1,0,0,1,1,0
2.99,2008,0.99,53,25.99,0,0,0,0,1,0,1,1,0
2.99,2005,2.99,126,16.99,0,0,0,1,0,1,0,1,0
2.99,2004,0.99,52,28.99,0,0,0,0,1,0,1,1,0
8.99,2008,4.99,122,26.99,1,0,0,0,1,0,1,1,1
2.99,2007,2.99,105,18.99,0,1,0,0,0,0,0,1,0
4.99,2007,4.99,51,13.99,1,0,0,0,0,0,0,1,1
4.99,2007,4.99,140,16.99,0,1,0,0,0,1,1,1,1
6.99,2009,4.99,147,25.99,0,1,0,0,1,1,1,0,1
2.99,2009,2.99,65,27.99,0,0,0,0,0,0,0,1,0
0.99,2006,0.99,111,13.99,1,0,0,0,0,0,0,1,0
5.99,2004,2.99,70,10.99,0,0,0,1,1,0,1,1,0
2.99,2008,0.99,181,24.99,0,0,0,1,1,1,1,1,1
2.99,2010,2.99,116,13.99,0,1,0,0,0,1,1,0,1
4.99,2006,2.99,130,28.99,0,0,0,0,1,0,1,0,0
4.99,2009,4.99,83,22.99,1,0,0,0,0,1,0,1,1
2.99,2009,2.99,115,29.99,0,1,0,0,0,0,0,1,0
0.99,2010,0.99,125,21.99,1,0,0,0,0,0,1,0,0
1.99,2005,0.99,150,21.99,1,0,0,0,1,1,0,1,1
7.99,2007,4.99,171,25.99,0,0,1,0,1,0,0,1,0
5.99,2007,2.99,130,9.99,1,0,0,0,1,1,1,1,0
4.99,2006,4.99,126,24.99,0,0,1,0,0,0,0,1,0
2.99,2007,0.99,177,28.99,0,0,0,1,1,1,1,1,0
6.99,2007,2.99,150,22.99,0,0,1,0,1,1,0,0,1
0.99,2004,0.99,117,29.99,0,1,0,0,0,1,1,0,0
5.99,2010,4.99,77,23.99,1,0,0,0,1,1,0,0,0
4.99,2007,0.99,166,16.99,0,1,0,0,1,1,0,1,1
2.99,2005,2.99,71,18.99,0,0,1,0,0,1,1,0,1
6.99,2010,0.99,98,22.99,0,0,0,1,1,0,0,1,0
2.99,2009,2.99,123,26.99,1,0,0,0,0,0,1,0,1
0.99,2009,0.99,137,18.99,0,0,0,1,0,1,0,0,1
2.99,2005,0.99,151,12.99,0,0,1,0,1,0,0,1,1
0.99,2009,0.99,108,28.99,0,0,0,1,0,0,1,1,1
0.99,2006,0.99,178,28.99,0,0,1,0,0,0,1,0,0
4.99,2006,4.99,126,24.99,0,0,1,0,0,0,0,1,0
6.99,2004,2.99,112,27.99,0,0,0,1,1,0,0,0,1
2.99,2005,0.99,54,12.99,0,0,0,1,1,1,0,0,0
2.99,2007,2.99,102,10.99,0,0,0,1,0,1,0,0,1
3.99,2010,0.99,174,10.99,0,0,1,0,1,0,0,1,0
2.99,2008,2.99,118,22.99,0,0,0,1,0,0,1,0,1
5.99,2009,2.99,182,22.99,1,0,0,0,1,1,1,1,1
2.99,2010,2.99,61,13.99,0,1,0,0,0,1,0,1,1
0.99,2008,0.99,85,26.99,0,0,0,1,0,1,1,0,0
3.99,2010,2.99,85,10.99,0,0,0,0,1,0,0,1,1
2.99,2007,0.99,177,28.99,0,0,0,1,1,1,1,1,0
4.99,2008,4.99,102,25.99,0,0,0,0,0,0,1,0,0
4.99,2004,4.99,80,20.99,0,1,0,0,0,0,1,0,1
4.99,2010,2.99,114,22.99,0,0,0,0,1,0,0,1,0
10.99,2009,4.99,149,25.99,0,1,0,0,1,1,1,1,0
0.99,2006,0.99,123,12.99,0,0,1,0,0,1,0,0,1
0.99,2009,0.99,164,22.99,0,0,0,1,0,0,1,0,0
5.99,2005,4.99,79,19.99,0,0,0,0,1,1,0,1,0
4.99,2006,2.99,151,15.99,0,1,0,0,1,1,0,1,0
4.99,2004,4.99,59,17.99,0,0,0,1,0,0,0,1,1
4.99,2007,4.99,171,25.99,0,0,1,0,0,0,0,1,0
2.99,2006,0.99,177,26.99,0,0,0,0,1,0,1,0,0
0.99,2010,0.99,126,22.99,1,0,0,0,0,1,0,0,0
2.99,2009,0.99,109,16.99,0,0,1,0,1,1,1,1,1
7.99,2004,4.99,100,25.99,0,0,1,0,1,0,1,1,1
2.99,2009,2.99,146,26.99,1,0,0,0,0,0,0,1,0
7.99,2009,4.99,92,16.99,1,0,0,0,1,0,1,1,1
2.99,2007,2.99,149,19.99,0,0,0,0,0,0,0,1,1
0.99,2008,0.99,63,11.99,0,0,0,1,0,1,0,0,0
0.99,2008,0.99,53,25.99,0,0,0,0,0,0,1,1,0
3.99,2010,2.99,116,13.99,0,1,0,0,1,1,1,0,1
2.99,2004,2.99,121,13.99,0,0,0,0,0,0,0,1,1
5.99,2009,4.99,61,17.99,0,0,0,0,1,0,0,1,0
2.99,2010,2.99,52,28.99,0,0,0,0,0,1,0,1,1
0.99,2007,0.99,49,23.99,0,0,0,0,0,1,0,1,1
6.99,2005,4.99,85,18.99,0,0,0,0,1,1,1,1,1
2.99,2006,2.99,130,28.99,0,0,0,0,0,0,1,0,0
6.99,2007,2.99,75,23.99,0,0,1,0,1,0,1,1,1
4.99,2004,4.99,165,16.99,0,0,0,1,0,0,0,0,1
0.99,2007,0.99,103,19.99,0,0,0,1,0,1,0,0,0
4.99,2006,2.99,63,27.99,0,0,0,1,1,1,0,1,0
4.99,2004,2.99,102,26.99,0,0,1,0,1,0,0,0,1
4.99,2005,4.99,96,27.99,1,0,0,0,0,1,0,1,1
0.99,2004,0.99,181,22.99,0,0,0,1,0,0,0,1,0
0.99,2009,0.99,139,22.99,0,0,1,0,0,0,0,1,1
4.99,2009,4.99,124,25.99,0,0,0,0,0,1,0,1,1
5.99,2006,2.99,80,24.99,0,1,0,0,1,0,1,0,0
0.99,2007,0.99,176,26.99,0,0,0,0,0,0,0,0,1
4.99,2004,4.99,102,21.99,0,0,1,0,0,0,0,1,1
4.99,2009,4.99,61,17.99,0,0,0,0,0,0,0,1,0
4.99,2008,4.99,98,15.99,0,1,0,0,0,0,0,1,0
4.99,2009,2.99,180,21.99,0,0,1,0,1,0,0,1,1
2.99,2008,0.99,114,25.99,0,1,0,0,1,0,1,1,0
4.99,2007,4.99,51,20.99,0,0,1,0,0,0,0,1,1
0.99,2004,0.99,141,27.99,0,0,1,0,0,0,1,0,0
0.99,2004,0.99,100,27.99,0,0,0,0,0,0,0,1,0
5.99,2006,4.99,180,13.99,1,0,0,0,1,0,0,0,1
5.99,2008,4.99,154,21.99,0,0,0,1,1,1,1,1,1
9.99,2009,4.99,147,25.99,0,1,0,0,1,1,1,0,1
0.99,2005,0.99,167,28.99,1,0,0,0,0,0,1,1,0
2.99,2004,2.99,167,20.99,0,0,0,1,0,1,0,0,0
1.99,2005,0.99,75,9.99,0,1,0,0,1,1,1,1,1
4.99,2008,4.99,91,11.99,0,1,0,0,0,0,0,1,0
2.99,2010,0.99,65,12.99,0,0,1,0,1,1,1,0,0
2.99,2008,2.99,122,13.99,0,1,0,0,0,0,0,1,0
2.99,2008,2.99,120,10.99,0,0,0,1,0,1,0,0,1
6.99,2004,0.99,142,29.99,0,0,0,0,1,1,0,1,1
7.99,2004,2.99,67,20.99,0,1,0,0,1,0,0,1,1
4.99,2006,4.99,173,14.99,0,0,0,1,0,0,0,1,0
6.99,2008,4.99,172,20.99,0,0,0,1,1,0,1,0,1
0.99,2004,0.99,58,27.99,0,0,1,0,0,0,0,1,0
0.99,2009,0.99,87,21.99,0,0,1,0,0,0,0,1,1
0.99,2007,0.99,176,26.99,0,0,0,0,0,0,0,0,1
9.99,2004,4.99,180,17.99,1,0,0,0,1,0,0,1,1
4.99,2007,2.99,176,18.99,0,1,0,0,1,1,1,0,0
0.99,2005,0.99,130,15.99,0,1,0,0,0,1,0,0,0
4.99,2006,4.99,161,22.99,0,0,0,1,0,0,0,0,1
4.99,2010,2.99,115,16.99,0,1,0,0,1,1,0,0,1
5.99,2004,4.99,131,16.99,0,1,0,0,1,1,0,0,1
3.99,2010,0.99,104,19.99,0,0,0,1,1,0,0,0,1
7.99,2005,4.99,135,28.99,0,0,1,0,1,0,1,1,0
4.99,2010,4.99,112,14.99,0,0,0,0,0,0,1,0,1
4.99,2005,4.99,140,15.99,0,1,0,0,0,0,0,1,1
2.99,2006,0.99,148,22.99,0,0,0,1,1,1,0,0,1
5.99,2009,4.99,109,24.99,0,0,0,0,1,1,0,0,1
0.99,2004,0.99,183,9.99,0,0,0,0,0,1,0,1,0
3.99,2005,2.99,142,13.99,0,1,0,0,1,1,1,1,0
0.99,2004,0.99,181,22.99,0,0,0,1,0,0,0,1,0
2.99,2010,2.99,174,21.99,1,0,0,0,0,1,0,1,1
1.99,2005,0.99,48,14.99,1,0,0,0,1,1,0,1,1
6.99,2006,0.99,139,23.99,1,0,0,0,1,1,1,0,0
4.99,2006,2.99,84,23.99,1,0,0,0,1,1,0,0,1
6.99,2010,4.99,79,24.99,0,0,0,1,1,1,1,0,1
8.99,2005,4.99,61,18.99,0,0,1,0,1,1,0,1,0
5.99,2008,4.99,98,15.99,0,1,0,0,1,0,0,1,0
2.99,2007,2.99,74,15.99,0,0,0,0,0,1,0,0,0
0.99,2007,0.99,184,18.99,0,0,0,1,0,0,0,1,0
1.99,2010,0.99,89,23.99,0,0,1,0,1,0,1,1,1
4.99,2008,2.99,70,22.99,0,0,0,1,1,0,1,1,1
7.99,2005,4.99,74,22.99,0,0,0,1,1,0,1,0,1
7.99,2004,4.99,150,28.99,0,0,0,0,1,0,1,0,1
4.99,2006,4.99,135,15.99,1,0,0,0,0,1,1,0,0
4.99,2010,4.99,47,21.99,1,0,0,0,0,0,1,1,1
2.99,2009,2.99,90,13.99,0,0,1,0,0,1,1,1,0
4.99,2008,4.99,107,23.99,0,0,1,0,0,0,1,1,1
0.99,2004,0.99,58,27.99,0,0,1,0,0,0,0,1,0
5.99,2007,0.99,122,24.99,0,1,0,0,1,1,1,1,1
0.99,2008,0.99,118,15.99,0,1,0,0,0,1,0,1,0
4.99,2004,4.99,174,24.99,0,0,0,0,0,1,1,0,1
2.99,2007,2.99,102,10.99,0,0,0,1,0,1,0,0,1
7.99,2008,2.99,172,13.99,0,0,1,0,1,1,0,0,1
4.99,2006,4.99,103,21.99,0,1,0,0,0,0,0,1,1
3.99,2010,2.99,154,23.99,0,1,0,0,1,0,0,1,1
2.99,2010,2.99,61,13.99,0,1,0,0,0,1,0,1,1
7.99,2007,2.99,74,15.99,0,0,0,0,1,1,0,0,0
0.99,2007,0.99,126,16.99,0,0,0,0,0,0,0,1,1
0.99,2004,0.99,122,14.99,1,0,0,0,0,1,1,0,0
2.99,2007,0.99,177,28.99,0,0,0,1,1,1,1,1,0
4.99,2007,4.99,118,11.99,0,0,0,0,0,1,1,1,0
2.99,2010,2.99,173,11.99,1,0,0,0,0,0,0,0,1
2.99,2009,2.99,136,26.99,0,0,1,0,0,1,0,0,1
